,Name,Symbol,CIK
0,Microsoft,MSFT,789019
1,Apple,AAPL,320193
2,NVIDIA,NVDA,1045810
3,Amazon,AMZN,1018724
4,Alphabet (Google),GOOG,1652044
5,Berkshire Hathaway,BRK-B,1067983
6,Eli Lilly,LLY,59478
7,TSMC,TSM,1046179
8,Novo Nordisk,NVO,353278
9,JPMorgan Chase,JPM,19617
10,UnitedHealth,UNH,731766
11,Walmart,WMT,104169
12,Exxon Mobil,XOM,34088
13,Johnson & Johnson,JNJ,200406
14,Procter & Gamble,PG,80424
15,ASML,ASML,937966
16,Home Depot,HD,354950
17,Tencent,TCEHY,2000991
18,Merck,MRK,310158
19,Costco,COST,909832
20,Toyota,TM,1094517
21,Oracle,ORCL,1341439
22,Chevron,CVX,93410
23,AMD,AMD,2488
24,Salesforce,CRM,1108524
25,Bank of America,BAC,70858
26,Coca-Cola,KO,21344
27,Netflix,NFLX,1065280
28,Adobe,ADBE,796343
29,Accenture,ACN,1467373
30,Pepsico,PEP,77476
31,Thermo Fisher Scientific,TMO,97745
32,McDonald,MCD,63908
33,SAP,SAP,1000184
34,Walt Disney,DIS,1744489
35,PetroChina,601857.SS,1108329
36,AstraZeneca,AZN,901832
37,Abbott Laboratories,ABT,1800
38,Cisco,CSCO,858877
39,T-Mobile US,TMUS,1283699
40,Wells Fargo,WFC,72971
41,Danaher,DHR,313616
42,Intel,INTC,50863
43,Intuit,INTU,896878
44,IBM,IBM,51143
45,QUALCOMM,QCOM,804328
46,Verizon,VZ,732712
47,Applied Materials,AMAT,6951
48,Comcast,CMCSA,1166691
49,Caterpillar,CAT,18230
50,Nike,NKE,320187
51,Pfizer,PFE,78003
52,American Express,AXP,4962
53,Amgen,AMGN,318154
54,Union Pacific Corporation,UNP,100885
55,Texas Instruments,TXN,97476
56,Siemens,SIE.DE,940418
57,Morgan Stanley,MS,895421
58,Royal Bank Of Canada,RY,1000275
59,HDFC Bank,HDB,1144967
60,Intuitive Surgical,ISRG,1035267
61,S&P Global,SPGI,64040
62,Stryker Corporation,SYK,310764
63,Inditex,IDEXY,1438656
64,Lowe's Companies,LOW,60667
65,ConocoPhillips,COP,1163165
66,Honeywell,HON,773840
67,Booking Holdings (Booking.com),BKNG,1075531
68,Unilever,UL,217410
69,United Parcel Service,UPS,1090727
70,Prologis,PLD,1045609
71,Airbus,AIR.PA,1145458
72,Goldman Sachs,GS,886982
73,Boeing,BA,12927
74,Anheuser-Busch Inbev,BUD,1668717
75,Lam Research,LRCX,707549
76,AT&T,T,732717
77,Raytheon Technologies,RTX,101829
78,Deutsche Telekom,DTE.DE,946770
79,BlackRock,BLK,1364742
80,Charles Schwab,SCHW,316709
81,Nextera Energy,NEE,753308
82,Sanofi,SNY,1121404
83,Petrobras,PBR,1119639
84,Medtronic,MDT,1613103
85,Rio Tinto,RIO,863064
86,TJX Companies,TJX,109198
87,Keyence,6861.T,
88,Progressive,PGR,80661
89,Sony,SONY,313838
90,Tokyo Electron,8035.T,1469524
91,Vertex Pharmaceuticals,VRTX,875320
