,ticker,year,number
0,ORCL,2007,53
1,ORCL,2008,53
2,ORCL,2009,53
3,ORCL,2012,53
4,ORCL,2013,53
5,ORCL,2014,53
6,ORCL,2015,53
7,ORCL,2018,53
8,ORCL,2019,53
9,ORCL,2020,53
10,MSFT,2007,53
11,MSFT,2008,53
12,MSFT,2009,53
13,MSFT,2012,53
14,MSFT,2013,53
15,MSFT,2014,53
16,MSFT,2015,53
17,MSFT,2018,53
18,MSFT,2019,53
19,MSFT,2020,53
20,HON,2007,53
21,HON,2008,53
22,HON,2009,53
23,HON,2012,53
24,HON,2013,53
25,HON,2014,53
26,HON,2015,53
27,HON,2018,53
28,HON,2019,53
29,HON,2020,53
30,T,2007,53
31,T,2008,53
32,T,2009,53
33,T,2012,53
34,T,2013,53
35,T,2014,53
36,T,2015,53
37,T,2018,53
38,T,2019,53
39,T,2020,53
40,AMWD,2007,53
41,AMWD,2008,53
42,AMWD,2009,53
43,AMWD,2012,53
44,AMWD,2013,53
45,AMWD,2014,53
46,AMWD,2015,53
47,AMWD,2018,53
48,AMWD,2019,53
49,AMWD,2020,53
50,FISV,2007,53
51,FISV,2008,53
52,FISV,2009,53
53,FISV,2012,53
54,FISV,2013,53
55,FISV,2014,53
56,FISV,2015,53
57,FISV,2018,53
58,FISV,2019,53
59,FISV,2020,53
60,FISV,2023,23
61,FI,2005,0
62,FI,2006,0
63,FI,2007,0
64,FI,2008,0
65,FI,2009,0
66,FI,2010,0
67,FI,2011,0
68,FI,2012,0
69,FI,2013,22
70,FI,2014,53
71,FI,2015,53
72,FI,2018,53
73,FI,2019,53
74,FI,2020,53
75,FI,2021,39
76,FI,2022,0
77,FI,2023,30
78,BWS,2007,53
79,BWS,2008,53
80,BWS,2009,53
81,BWS,2012,53
82,BWS,2013,53
83,BWS,2014,53
84,BWS,2015,22
85,BWS,2016,0
86,BWS,2017,0
87,BWS,2018,0
88,BWS,2019,0
89,BWS,2020,0
90,BWS,2021,0
91,BWS,2022,0
92,BWS,2023,0
93,CAL,2007,53
94,CAL,2008,53
95,CAL,2009,53
96,CAL,2010,39
97,CAL,2011,0
98,CAL,2012,0
99,CAL,2013,0
100,CAL,2014,0
101,CAL,2015,32
102,CAL,2018,53
103,CAL,2019,53
104,CAL,2020,53
105,BNK,2005,9
106,BNK,2006,0
107,BNK,2007,0
108,BNK,2008,0
109,BNK,2009,0
110,BNK,2010,0
111,BNK,2011,0
112,BNK,2012,0
113,BNK,2013,0
114,BNK,2014,0
115,BNK,2015,0
116,BNK,2016,0
117,BNK,2017,0
118,BNK,2018,0
119,BNK,2019,0
120,BNK,2020,0
121,BNK,2021,0
122,BNK,2022,0
123,BNK,2023,0
124,DELL,2007,53
125,DELL,2008,53
126,DELL,2009,53
127,DELL,2012,53
128,DELL,2013,44
129,DELL,2014,0
130,DELL,2015,0
131,DELL,2016,0
132,DELL,2017,0
133,DELL,2018,2
134,DELL,2019,53
135,DELL,2020,53
136,FBNC,2007,53
137,FBNC,2008,53
138,FBNC,2009,53
139,FBNC,2012,53
140,FBNC,2013,53
141,FBNC,2014,53
142,FBNC,2015,53
143,FBNC,2018,53
144,FBNC,2019,53
