PERMNO,date,SICCD,TICKER,PERMCO,PRC
10696,2023-12-27,7374,FI,8598,133.00999
10696,2023-12-28,7374,FI,8598,133.38000
10866,2023-12-27,5661,CAL,20342,31.59000
10866,2023-12-28,5661,CAL,20342,31.67000
11403,2023-12-27,7372,CDNS,9245,274.64001
11403,2023-12-28,7372,CDNS,9245,273.23999
11533,2023-12-27,7389,FICO,9360,1170.60999
11533,2023-12-28,7389,FICO,9360,1169.33997
11955,2023-12-27,4953,WM,9804,177.75000
11955,2023-12-28,4953,WM,9804,178.14000
12308,2023-12-27,4841,CHTR,17322,391.54001
12308,2023-12-28,4841,CHTR,17322,392.39001
12385,2023-12-27,6726,SMFG,53564,9.52000
12385,2023-12-28,6726,SMFG,53564,9.63000
12431,2023-12-27,3822,TT,20977,243.95000
12431,2023-12-28,3822,TT,20977,243.81000
12447,2023-12-27,1044,AG,53608,6.42000
12447,2023-12-28,1044,AG,53608,6.19000
12622,2023-12-27,8062,HCA,53696,271.22000
12622,2023-12-28,8062,HCA,53696,270.48001
14089,2023-12-27,6719,XPRO,54504,16.36000
14089,2023-12-28,6719,XPRO,54504,16.26000
14257,2023-12-27,9999,MGNX,54614,9.96000
14257,2023-12-28,9999,MGNX,54614,9.94000
14507,2023-12-27,6722,FPL,54766,6.88000
14507,2023-12-28,6722,FPL,54766,6.86000
15488,2023-12-27,9999,PYPL,55341,62.68000
15488,2023-12-28,9999,PYPL,55341,63.08000
16692,2023-12-27,3564,IR,55928,77.85000
16692,2023-12-28,3564,IR,55928,77.78000
17478,2023-12-27,6282,SPGI,21179,440.00000
17478,2023-12-28,6282,SPGI,21179,441.84000
17677,2023-12-27,5812,BH,4255,825.00000
17677,2023-12-28,5812,BH,4255,819.00000
17830,2023-12-27,3724,RTX,21832,84.17000
17830,2023-12-28,3724,RTX,21832,84.17000
18267,2023-12-27,3571,DELL,55676,77.26000
18267,2023-12-28,3571,DELL,55676,76.68000
18481,2023-12-27,6722,ALC,42936,77.95000
18481,2023-12-28,6722,ALC,42936,77.98000
19218,2023-12-27,6726,HELX,55598,30.73000
19218,2023-12-28,6726,HELX,55598,30.77930
19721,2023-12-27,7389,VVI,20851,37.20000
19721,2023-12-28,7389,VVI,20851,36.64000
20126,2023-12-27,6799,JOBY,57323,7.00000
20126,2023-12-28,6799,JOBY,57323,6.90000
20745,2023-12-27,5074,FERG,58054,193.25999
20745,2023-12-28,5074,FERG,58054,193.12000
20913,2023-12-27,1041,CGAU,58178,6.22000
20913,2023-12-28,1041,CGAU,58178,6.09000
22204,2023-12-27,9999,FWRG,58853,20.52000
22204,2023-12-28,9999,FWRG,58853,20.03000
23169,2023-12-27,1311,WDS,59307,21.29000
23169,2023-12-28,1311,WDS,59307,21.12000
23217,2023-12-27,6726,MEM,59333,28.25870
23217,2023-12-28,6726,MEM,59333,28.43000
23423,2023-12-27,9999,NXL,59401,0.39000
23423,2023-12-28,9999,NXL,59401,0.40200
24090,2023-12-27,3578,DBD,20582,29.00000
24090,2023-12-28,3578,DBD,20582,28.85000
24201,2023-12-27,7389,GFR,59650,5.17000
24201,2023-12-28,7389,GFR,59650,5.19000
24205,2023-12-27,4911,NEE,20684,60.58000
24205,2023-12-28,4911,NEE,20684,61.02000
24486,2023-12-27,9999,MSS,59701,1.50000
24486,2023-12-28,9999,MSS,59701,1.38000
26607,2023-12-27,5812,BH,4255,168.35001
26607,2023-12-28,5812,BH,4255,166.97000
28484,2023-12-27,2911,HES,20064,148.58000
28484,2023-12-28,2911,HES,20064,144.74001
51131,2023-12-27,6719,SONY,21633,94.01000
51131,2023-12-28,6719,SONY,21633,94.65000
59459,2023-12-27,6331,TRV,4293,188.62000
59459,2023-12-28,6331,TRV,4293,189.33000
61735,2023-12-27,6411,AON,20203,289.87000
61735,2023-12-28,6411,AON,20203,289.31000
66093,2023-12-27,4812,T,21645,16.58000
66093,2023-12-28,4812,T,21645,16.74000
69032,2023-12-27,6282,MS,21224,93.66000
69032,2023-12-28,6282,MS,21224,93.64000
70519,2023-12-27,6021,C,20483,51.46000
70519,2023-12-28,6021,C,20483,51.52000
71563,2023-12-27,6712,TFC,4163,37.24000
71563,2023-12-28,6712,TFC,4163,37.29000
75152,2023-12-27,6021,SAN,20260,4.19000
75152,2023-12-28,6021,SAN,20260,4.14000
75186,2023-12-27,6211,SCHW,21578,69.27000
75186,2023-12-28,6211,SCHW,21578,69.55000
75381,2023-12-27,6021,BBVA,21963,9.14000
75381,2023-12-28,6021,BBVA,21963,9.02000
75828,2023-12-27,7372,EA,10303,136.71001
75828,2023-12-28,7372,EA,10303,136.75999
